Baseline,Tier,Parent,KPI,Grp_Comb,Num,Den,A0,Contribution,Parent,Child Ttl,QA Check,Parent Category,Parent Node,Child Category,Child Node,,,Category,Recommended Parent,Recommended Grp_Comb
,5,dom_int;D,A0,dom_int/station;D/LAX,193638,271012,71.45%,3.14%,9009617,,,dom_int,D,dom_int/station,D/LAX,sys/div/dom_int/dom_int/station;DL/ACS/D/D/LAS,,,,
,5,dom_int;D,A0,dom_int/station;D/LEX,15065,21729,69.33%,0.24%,9009617,,,dom_int,D,dom_int/station,D/LEX,sys/div/dom_int/dom_int/station;DL/ACS/D/D/LAX,,,,
,5,dom_int;D,A0,dom_int/station;D/LFT,4794,7279,65.86%,0.08%,9009617,,,dom_int,D,dom_int/station,D/LFT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/LEX,,,,
,5,dom_int;D,A0,dom_int/station;D/LGA,289194,441623,65.48%,4.69%,9009617,,,dom_int,D,dom_int/station,D/LGA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/LFT,,,,
,5,dom_int;D,A0,dom_int/station;D/LGB,4711,6080,77.48%,0.08%,9009617,,,dom_int,D,dom_int/station,D/LGB,sys/div/dom_int/dom_int/station;DL/ACS/D/D/LGA,,,,
,5,dom_int;D,A0,dom_int/station;D/LIH,2634,4028,65.39%,0.04%,9009617,,,dom_int,D,dom_int/station,D/LIH,sys/div/dom_int/dom_int/station;DL/ACS/D/D/LGB,,,,
,5,dom_int;D,A0,dom_int/station;D/LIT,11418,15578,73.30%,0.19%,9009617,,,dom_int,D,dom_int/station,D/LIT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/LIH,,,,
,5,dom_int;D,A0,dom_int/station;D/LWS,3330,4072,81.78%,0.05%,9009617,,,dom_int,D,dom_int/station,D/LWS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/LIT,,,,
,5,dom_int;D,A0,dom_int/station;D/MBS,4702,7164,65.63%,0.08%,9009617,,,dom_int,D,dom_int/station,D/MBS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/LWS,,,,
,5,dom_int;D,A0,dom_int/station;D/MCI,36651,55444,66.10%,0.59%,9009617,,,dom_int,D,dom_int/station,D/MCI,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MBS,,,,
,5,dom_int;D,A0,dom_int/station;D/MCO,68370,119637,57.15%,1.11%,9009617,,,dom_int,D,dom_int/station,D/MCO,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MCI,,,,
,5,dom_int;D,A0,dom_int/station;D/MDT,6872,10651,64.52%,0.11%,9009617,,,dom_int,D,dom_int/station,D/MDT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MCO,,,,
,5,dom_int;D,A0,dom_int/station;D/MDW,11406,19222,59.34%,0.18%,9009617,,,dom_int,D,dom_int/station,D/MDW,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MDT,,,,
,5,dom_int;D,A0,dom_int/station;D/MEM,28662,43153,66.42%,0.46%,9009617,,,dom_int,D,dom_int/station,D/MEM,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MDW,,,,
,5,dom_int;D,A0,dom_int/station;D/MFE,4041,5750,70.28%,0.07%,9009617,,,dom_int,D,dom_int/station,D/MFE,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MEM,,,,
,5,dom_int;D,A0,dom_int/station;D/MFR,7555,9918,76.17%,0.12%,9009617,,,dom_int,D,dom_int/station,D/MFR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MFE,,,,
,5,dom_int;D,A0,dom_int/station;D/MGM,6325,9327,67.81%,0.10%,9009617,,,dom_int,D,dom_int/station,D/MGM,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MFR,,,,
,5,dom_int;D,A0,dom_int/station;D/MIA,36253,64624,56.10%,0.59%,9009617,,,dom_int,D,dom_int/station,D/MIA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MGM,,,,
,5,dom_int;D,A0,dom_int/station;D/MKE,29699,43932,67.60%,0.48%,9009617,,,dom_int,D,dom_int/station,D/MKE,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MIA,,,,
,5,dom_int;D,A0,dom_int/station;D/MLB,5739,7980,71.92%,0.09%,9009617,,,dom_int,D,dom_int/station,D/MLB,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MKE,,,,
,5,dom_int;D,A0,dom_int/station;D/MLI,2453,4039,60.73%,0.04%,9009617,,,dom_int,D,dom_int/station,D/MLI,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MLB,,,,
,5,dom_int;D,A0,dom_int/station;D/MLU,3774,5761,65.51%,0.06%,9009617,,,dom_int,D,dom_int/station,D/MLU,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MLI,,,,
,5,dom_int;D,A0,dom_int/station;D/MOB,6389,9522,67.10%,0.10%,9009617,,,dom_int,D,dom_int/station,D/MOB,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MLU,,,,
,5,dom_int;D,A0,dom_int/station;D/MOT,4923,7670,64.19%,0.08%,9009617,,,dom_int,D,dom_int/station,D/MOT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MOB,,,,
,5,dom_int;D,A0,dom_int/station;D/MQT,2417,3814,63.37%,0.04%,9009617,,,dom_int,D,dom_int/station,D/MQT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MOT,,,,
,5,dom_int;D,A0,dom_int/station;D/MSN,17348,26760,64.83%,0.28%,9009617,,,dom_int,D,dom_int/station,D/MSN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MQT,,,,
,5,dom_int;D,A0,dom_int/station;D/MSO,5894,8483,69.48%,0.10%,9009617,,,dom_int,D,dom_int/station,D/MSO,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MSN,,,,
,5,dom_int;D,A0,dom_int/station;D/MSP,409832,586924,69.83%,6.65%,9009617,,,dom_int,D,dom_int/station,D/MSP,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MSO,,,,
,5,dom_int;D,A0,dom_int/station;D/MSY,30488,43978,69.33%,0.49%,9009617,,,dom_int,D,dom_int/station,D/MSY,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MSP,,,,
,5,dom_int;D,A0,dom_int/station;D/MTJ,290,504,57.54%,0.00%,9009617,,,dom_int,D,dom_int/station,D/MTJ,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MSY,,,,
,5,dom_int;D,A0,dom_int/station;D/MYR,8828,13017,67.82%,0.14%,9009617,,,dom_int,D,dom_int/station,D/MYR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MTJ,,,,
,5,dom_int;D,A0,dom_int/station;D/OAJ,4856,6961,69.76%,0.08%,9009617,,,dom_int,D,dom_int/station,D/OAJ,sys/div/dom_int/dom_int/station;DL/ACS/D/D/MYR,,,,
,5,dom_int;D,A0,dom_int/station;D/OAK,4664,5991,77.85%,0.08%,9009617,,,dom_int,D,dom_int/station,D/OAK,sys/div/dom_int/dom_int/station;DL/ACS/D/D/OAJ,,,,
,5,dom_int;D,A0,dom_int/station;D/OGG,4755,6592,72.13%,0.08%,9009617,,,dom_int,D,dom_int/station,D/OGG,sys/div/dom_int/dom_int/station;DL/ACS/D/D/OAK,,,,
,5,dom_int;D,A0,dom_int/station;D/OKC,11924,17629,67.64%,0.19%,9009617,,,dom_int,D,dom_int/station,D/OKC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/OGG,,,,
,5,dom_int;D,A0,dom_int/station;D/OMA,22957,35287,65.06%,0.37%,9009617,,,dom_int,D,dom_int/station,D/OMA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/OKC,,,,
,5,dom_int;D,A0,dom_int/station;D/ONT,12432,18064,68.82%,0.20%,9009617,,,dom_int,D,dom_int/station,D/ONT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/OMA,,,,
,5,dom_int;D,A0,dom_int/station;D/ORD,39693,74730,53.12%,0.64%,9009617,,,dom_int,D,dom_int/station,D/ORD,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ONT,,,,
,5,dom_int;D,A0,dom_int/station;D/ORF,21856,35782,61.08%,0.35%,9009617,,,dom_int,D,dom_int/station,D/ORF,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ORD,,,,
,5,dom_int;D,A0,dom_int/station;D/ORH,1049,1598,65.64%,0.02%,9009617,,,dom_int,D,dom_int/station,D/ORH,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ORF,,,,
,5,dom_int;D,A0,dom_int/station;D/PBI,22121,38664,57.21%,0.36%,9009617,,,dom_int,D,dom_int/station,D/PBI,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ORH,,,,
,5,dom_int;D,A0,dom_int/station;D/PDX,37596,53697,70.02%,0.61%,9009617,,,dom_int,D,dom_int/station,D/PDX,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PBI,,,,
,5,dom_int;D,A0,dom_int/station;D/PHL,25892,42111,61.49%,0.42%,9009617,,,dom_int,D,dom_int/station,D/PHL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PDX,,,,
,5,dom_int;D,A0,dom_int/station;D/PHX,41594,67561,61.57%,0.67%,9009617,,,dom_int,D,dom_int/station,D/PHX,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PHL,,,,
,5,dom_int;D,A0,dom_int/station;D/PIH,1701,2152,79.04%,0.03%,9009617,,,dom_int,D,dom_int/station,D/PIH,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PHX,,,,
,5,dom_int;D,A0,dom_int/station;D/PIT,35468,53394,66.43%,0.58%,9009617,,,dom_int,D,dom_int/station,D/PIT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PIH,,,,
,5,dom_int;D,A0,dom_int/station;D/PLN,2314,3329,69.51%,0.04%,9009617,,,dom_int,D,dom_int/station,D/PLN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PIT,,,,
,5,dom_int;D,A0,dom_int/station;D/PNS,11767,17429,67.51%,0.19%,9009617,,,dom_int,D,dom_int/station,D/PNS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PLN,,,,
,5,dom_int;D,A0,dom_int/station;D/PSC,10576,14647,72.21%,0.17%,9009617,,,dom_int,D,dom_int/station,D/PSC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PNS,,,,
,5,dom_int;D,A0,dom_int/station;D/PSP,7483,10140,73.80%,0.12%,9009617,,,dom_int,D,dom_int/station,D/PSP,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PSC,,,,
,5,dom_int;D,A0,dom_int/station;D/PVD,6871,11500,59.75%,0.11%,9009617,,,dom_int,D,dom_int/station,D/PVD,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PSP,,,,
,5,dom_int;D,A0,dom_int/station;D/PWM,12607,18509,68.11%,0.20%,9009617,,,dom_int,D,dom_int/station,D/PWM,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PVD,,,,
,5,dom_int;D,A0,dom_int/station;D/RAP,4835,6997,69.10%,0.08%,9009617,,,dom_int,D,dom_int/station,D/RAP,sys/div/dom_int/dom_int/station;DL/ACS/D/D/PWM,,,,
,5,dom_int;D,A0,dom_int/station;D/RDM,7721,9859,78.31%,0.13%,9009617,,,dom_int,D,dom_int/station,D/RDM,sys/div/dom_int/dom_int/station;DL/ACS/D/D/RAP,,,,
,5,dom_int;D,A0,dom_int/station;D/RDU,72331,109054,66.33%,1.17%,9009617,,,dom_int,D,dom_int/station,D/RDU,sys/div/dom_int/dom_int/station;DL/ACS/D/D/RDM,,,,
,5,dom_int;D,A0,dom_int/station;D/RHI,3138,3943,79.58%,0.05%,9009617,,,dom_int,D,dom_int/station,D/RHI,sys/div/dom_int/dom_int/station;DL/ACS/D/D/RDU,,,,
,5,dom_int;D,A0,dom_int/station;D/RIC,27318,41414,65.96%,0.44%,9009617,,,dom_int,D,dom_int/station,D/RIC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/RHI,,,,
,5,dom_int;D,A0,dom_int/station;D/RNO,11503,15387,74.76%,0.19%,9009617,,,dom_int,D,dom_int/station,D/RNO,sys/div/dom_int/dom_int/station;DL/ACS/D/D/RIC,,,,
,5,dom_int;D,A0,dom_int/station;D/ROA,6203,9366,66.23%,0.10%,9009617,,,dom_int,D,dom_int/station,D/ROA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/RNO,,,,
,5,dom_int;D,A0,dom_int/station;D/ROC,14402,23546,61.17%,0.23%,9009617,,,dom_int,D,dom_int/station,D/ROC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ROA,,,,
,5,dom_int;D,A0,dom_int/station;D/RST,3519,5676,62.00%,0.06%,9009617,,,dom_int,D,dom_int/station,D/RST,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ROC,,,,
,5,dom_int;D,A0,dom_int/station;D/RSW,25385,40573,62.57%,0.41%,9009617,,,dom_int,D,dom_int/station,D/RSW,sys/div/dom_int/dom_int/station;DL/ACS/D/D/RST,,,,
,5,dom_int;D,A0,dom_int/station;D/SAN,39036,64381,60.63%,0.63%,9009617,,,dom_int,D,dom_int/station,D/SAN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/RSW,,,,
,5,dom_int;D,A0,dom_int/station;D/SAT,25101,37838,66.34%,0.41%,9009617,,,dom_int,D,dom_int/station,D/SAT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SAN,,,,
,5,dom_int;D,A0,dom_int/station;D/SAV,24018,35179,68.27%,0.39%,9009617,,,dom_int,D,dom_int/station,D/SAV,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SAT,,,,
,5,dom_int;D,A0,dom_int/station;D/SBA,5322,7310,72.80%,0.09%,9009617,,,dom_int,D,dom_int/station,D/SBA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SAV,,,,
,5,dom_int;D,A0,dom_int/station;D/SBN,7144,11762,60.74%,0.12%,9009617,,,dom_int,D,dom_int/station,D/SBN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SBA,,,,
,5,dom_int;D,A0,dom_int/station;D/SDF,25487,36166,70.47%,0.41%,9009617,,,dom_int,D,dom_int/station,D/SDF,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SBN,,,,
,5,dom_int;D,A0,dom_int/station;D/SEA,201573,281722,71.55%,3.27%,9009617,,,dom_int,D,dom_int/station,D/SEA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SDF,,,,
,5,dom_int;D,A0,dom_int/station;D/SFO,44265,80740,54.82%,0.72%,9009617,,,dom_int,D,dom_int/station,D/SFO,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SEA,,,,
,5,dom_int;D,A0,dom_int/station;D/SGF,4593,7055,65.10%,0.07%,9009617,,,dom_int,D,dom_int/station,D/SGF,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SFO,,,,
,5,dom_int;D,A0,dom_int/station;D/SGU,7744,9492,81.58%,0.13%,9009617,,,dom_int,D,dom_int/station,D/SGU,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SGF,,,,
,5,dom_int;D,A0,dom_int/station;D/SHV,5658,8836,64.03%,0.09%,9009617,,,dom_int,D,dom_int/station,D/SHV,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SGU,,,,
,5,dom_int;D,A0,dom_int/station;D/SJC,29807,39935,74.64%,0.48%,9009617,,,dom_int,D,dom_int/station,D/SJC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SHV,,,,
,5,dom_int;D,A0,dom_int/station;D/SJU,10936,19539,55.97%,0.18%,9009617,,,dom_int,D,dom_int/station,D/SJU,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SJC,,,,
,5,dom_int;D,A0,dom_int/station;D/SLC,353455,467621,75.59%,5.73%,9009617,,,dom_int,D,dom_int/station,D/SLC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SJU,,,,
,5,dom_int;D,A0,dom_int/station;D/SMF,31472,42422,74.19%,0.51%,9009617,,,dom_int,D,dom_int/station,D/SMF,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SLC,,,,
,5,dom_int;D,A0,dom_int/station;D/SNA,19743,32505,60.74%,0.32%,9009617,,,dom_int,D,dom_int/station,D/SNA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SMF,,,,
,5,dom_int;D,A0,dom_int/station;D/SRQ,11516,18220,63.21%,0.19%,9009617,,,dom_int,D,dom_int/station,D/SRQ,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SNA,,,,
,5,dom_int;D,A0,dom_int/station;D/STL,29652,42874,69.16%,0.48%,9009617,,,dom_int,D,dom_int/station,D/STL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SRQ,,,,
,5,dom_int;D,A0,dom_int/station;D/STT,2730,5286,51.65%,0.04%,9009617,,,dom_int,D,dom_int/station,D/STT,sys/div/dom_int/dom_int/station;DL/ACS/D/D/STL,,,,
,5,dom_int;D,A0,dom_int/station;D/STX,283,631,44.85%,0.00%,9009617,,,dom_int,D,dom_int/station,D/STX,sys/div/dom_int/dom_int/station;DL/ACS/D/D/STT,,,,
,5,dom_int;D,A0,dom_int/station;D/SUN,5243,6288,83.38%,0.09%,9009617,,,dom_int,D,dom_int/station,D/SUN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/STX,,,,
,5,dom_int;D,A0,dom_int/station;D/SYR,16143,25183,64.10%,0.26%,9009617,,,dom_int,D,dom_int/station,D/SYR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SUN,,,,
,5,dom_int;D,A0,dom_int/station;D/TLH,8109,12191,66.52%,0.13%,9009617,,,dom_int,D,dom_int/station,D/TLH,sys/div/dom_int/dom_int/station;DL/ACS/D/D/SYR,,,,
,5,dom_int;D,A0,dom_int/station;D/TPA,45738,75386,60.67%,0.74%,9009617,,,dom_int,D,dom_int/station,D/TPA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/TLH,,,,
,5,dom_int;D,A0,dom_int/station;D/TRI,6582,9243,71.21%,0.11%,9009617,,,dom_int,D,dom_int/station,D/TRI,sys/div/dom_int/dom_int/station;DL/ACS/D/D/TPA,,,,
,5,dom_int;D,A0,dom_int/station;D/TUL,9264,12973,71.41%,0.15%,9009617,,,dom_int,D,dom_int/station,D/TUL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/TRI,,,,
,5,dom_int;D,A0,dom_int/station;D/TUS,13037,18854,69.15%,0.21%,9009617,,,dom_int,D,dom_int/station,D/TUS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/TUL,,,,
,5,dom_int;D,A0,dom_int/station;D/TVC,5727,8972,63.83%,0.09%,9009617,,,dom_int,D,dom_int/station,D/TVC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/TUS,,,,
,5,dom_int;D,A0,dom_int/station;D/TWF,3677,4190,87.76%,0.06%,9009617,,,dom_int,D,dom_int/station,D/TWF,sys/div/dom_int/dom_int/station;DL/ACS/D/D/TVC,,,,
,5,dom_int;D,A0,dom_int/station;D/TYS,18284,28262,64.69%,0.30%,9009617,,,dom_int,D,dom_int/station,D/TYS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/TWF,,,,
,5,dom_int;D,A0,dom_int/station;D/VLD,3712,5620,66.05%,0.06%,9009617,,,dom_int,D,dom_int/station,D/VLD,sys/div/dom_int/dom_int/station;DL/ACS/D/D/TYS,,,,
,5,dom_int;D,A0,dom_int/station;D/VPS,10699,14744,72.57%,0.17%,9009617,,,dom_int,D,dom_int/station,D/VPS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/VLD,,,,
,5,dom_int;D,A0,dom_int/station;D/XNA,14049,22943,61.23%,0.23%,9009617,,,dom_int,D,dom_int/station,D/XNA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/VPS,,,,
,5,dom_int;D,A0,dom_int/station;D/XWA,3295,5520,59.69%,0.05%,9009617,,,dom_int,D,dom_int/station,D/XWA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/XNA,,,,
,5,dom_int;I,A0,dom_int/station;I/ACC,1101,2326,47.33%,0.19%,945380,930082,FALSE,dom_int,I,dom_int/station,I/ACC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/XWA,,,,
,5,dom_int;I,A0,dom_int/station;I/AKL,539,1040,51.83%,0.09%,945380,,,dom_int,I,dom_int/station,I/AKL,sys/div/dom_int/dom_int/station;DL/ACS/I/I/ACC,,,,
,5,dom_int;I,A0,dom_int/station;I/AMS,17467,29894,58.43%,2.94%,945380,,,dom_int,I,dom_int/station,I/AMS,sys/div/dom_int/dom_int/station;DL/ACS/I/I/AKL,,,,
,5,dom_int;I,A0,dom_int/station;I/ANU,199,403,49.38%,0.03%,945380,,,dom_int,I,dom_int/station,I/ANU,sys/div/dom_int/dom_int/station;DL/ACS/I/I/AMS,,,,
,5,dom_int;I,A0,dom_int/station;I/ATH,3315,5558,59.64%,0.56%,945380,,,dom_int,I,dom_int/station,I/ATH,sys/div/dom_int/dom_int/station;DL/ACS/I/I/ANU,,,,
,5,dom_int;I,A0,dom_int/station;I/ATL,115191,170364,67.61%,19.39%,945380,,,dom_int,I,dom_int/station,I/ATL,sys/div/dom_int/dom_int/station;DL/ACS/I/I/ATH,,,,
,5,dom_int;I,A0,dom_int/station;I/AUA,3826,5634,67.91%,0.64%,945380,,,dom_int,I,dom_int/station,I/AUA,sys/div/dom_int/dom_int/station;DL/ACS/I/I/ATL,,,,
,5,dom_int;I,A0,dom_int/station;I/AUS,504,1116,45.16%,0.08%,945380,,,dom_int,I,dom_int/station,I/AUS,sys/div/dom_int/dom_int/station;DL/ACS/I/I/AUA,,,,
,5,dom_int;I,A0,dom_int/station;I/BCN,3048,5100,59.76%,0.51%,945380,,,dom_int,I,dom_int/station,I/BCN,sys/div/dom_int/dom_int/station;DL/ACS/I/I/AUS,,,,
,5,dom_int;I,A0,dom_int/station;I/BDA,1490,1997,74.61%,0.25%,945380,,,dom_int,I,dom_int/station,I/BDA,sys/div/dom_int/dom_int/station;DL/ACS/I/I/BCN,,,,
,5,dom_int;I,A0,dom_int/station;I/BGI,932,1504,61.97%,0.16%,945380,,,dom_int,I,dom_int/station,I/BGI,sys/div/dom_int/dom_int/station;DL/ACS/I/I/BDA,,,,
,5,dom_int;I,A0,dom_int/station;I/BNA,9,80,11.25%,0.00%,945380,,,dom_int,I,dom_int/station,I/BNA,sys/div/dom_int/dom_int/station;DL/ACS/I/I/BGI,,,,
,5,dom_int;I,A0,dom_int/station;I/BNE,178,367,48.50%,0.03%,945380,,,dom_int,I,dom_int/station,I/BNE,sys/div/dom_int/dom_int/station;DL/ACS/I/I/BNA,,,,
,5,dom_int;I,A0,dom_int/station;I/BOG,1649,3839,42.95%,0.28%,945380,,,dom_int,I,dom_int/station,I/BOG,sys/div/dom_int/dom_int/station;DL/ACS/I/I/BNE,,,,
,5,dom_int;I,A0,dom_int/station;I/BON,218,385,56.62%,0.04%,945380,,,dom_int,I,dom_int/station,I/BON,sys/div/dom_int/dom_int/station;DL/ACS/I/I/BOG,,,,
,5,dom_int;I,A0,dom_int/station;I/BOS,10754,18790,57.23%,1.81%,945380,,,dom_int,I,dom_int/station,I/BOS,sys/div/dom_int/dom_int/station;DL/ACS/I/I/BON,,,,
,5,dom_int;I,A0,dom_int/station;I/BRU,733,1390,52.73%,0.12%,945380,,,dom_int,I,dom_int/station,I/BRU,sys/div/dom_int/dom_int/station;DL/ACS/I/I/BOS,,,,
,5,dom_int;I,A0,dom_int/station;I/BZE,1437,2212,64.96%,0.24%,945380,,,dom_int,I,dom_int/station,I/BZE,sys/div/dom_int/dom_int/station;DL/ACS/I/I/BRU,,,,
,5,dom_int;I,A0,dom_int/station;I/CDG,13107,22389,58.54%,2.21%,945380,,,dom_int,I,dom_int/station,I/CDG,sys/div/dom_int/dom_int/station;DL/ACS/I/I/BZE,,,,
,5,dom_int;I,A0,dom_int/station;I/CPT,422,1109,38.05%,0.07%,945380,,,dom_int,I,dom_int/station,I/CPT,sys/div/dom_int/dom_int/station;DL/ACS/I/I/CDG,,,,
,5,dom_int;I,A0,dom_int/station;I/CTG,595,1037,57.38%,0.10%,945380,,,dom_int,I,dom_int/station,I/CTG,sys/div/dom_int/dom_int/station;DL/ACS/I/I/CPT,,,,
,5,dom_int;I,A0,dom_int/station;I/CUN,19162,31217,61.38%,3.23%,945380,,,dom_int,I,dom_int/station,I/CUN,sys/div/dom_int/dom_int/station;DL/ACS/I/I/CTG,,,,
,5,dom_int;I,A0,dom_int/station;I/CUR,667,998,66.83%,0.11%,945380,,,dom_int,I,dom_int/station,I/CUR,sys/div/dom_int/dom_int/station;DL/ACS/I/I/CUN,,,,
,5,dom_int;I,A0,dom_int/station;I/CVG,536,1273,42.11%,0.09%,945380,,,dom_int,I,dom_int/station,I/CVG,sys/div/dom_int/dom_int/station;DL/ACS/I/I/CUR,,,,
,5,dom_int;I,A0,dom_int/station;I/CZM,535,765,69.93%,0.09%,945380,,,dom_int,I,dom_int/station,I/CZM,sys/div/dom_int/dom_int/station;DL/ACS/I/I/CVG,,,,
,5,dom_int;I,A0,dom_int/station;I/DSS,489,1041,46.97%,0.08%,945380,,,dom_int,I,dom_int/station,I/DSS,sys/div/dom_int/dom_int/station;DL/ACS/I/I/CZM,,,,
,5,dom_int;I,A0,dom_int/station;I/DTW,30370,45712,66.44%,5.11%,945380,,,dom_int,I,dom_int/station,I/DTW,sys/div/dom_int/dom_int/station;DL/ACS/I/I/DSS,,,,
,5,dom_int;I,A0,dom_int/station;I/DUB,4530,6943,65.25%,0.76%,945380,,,dom_int,I,dom_int/station,I/DUB,sys/div/dom_int/dom_int/station;DL/ACS/I/I/DTW,,,,
,5,dom_int;I,A0,dom_int/station;I/EDI,2089,3790,55.12%,0.35%,945380,,,dom_int,I,dom_int/station,I/EDI,sys/div/dom_int/dom_int/station;DL/ACS/I/I/DUB,,,,
,5,dom_int;I,A0,dom_int/station;I/ELH,605,1027,58.91%,0.10%,945380,,,dom_int,I,dom_int/station,I/ELH,sys/div/dom_int/dom_int/station;DL/ACS/I/I/EDI,,,,
,5,dom_int;I,A0,dom_int/station;I/EZE,1195,3348,35.69%,0.20%,945380,,,dom_int,I,dom_int/station,I/EZE,sys/div/dom_int/dom_int/station;DL/ACS/I/I/ELH,,,,
,5,dom_int;I,A0,dom_int/station;I/FCO,6170,11385,54.19%,1.04%,945380,,,dom_int,I,dom_int/station,I/FCO,sys/div/dom_int/dom_int/station;DL/ACS/I/I/EZE,,,,
,5,dom_int;I,A0,dom_int/station;I/FRA,3041,5099,59.64%,0.51%,945380,,,dom_int,I,dom_int/station,I/FRA,sys/div/dom_int/dom_int/station;DL/ACS/I/I/FCO,,,,
,5,dom_int;I,A0,dom_int/station;I/GCM,1601,2360,67.84%,0.27%,945380,,,dom_int,I,dom_int/station,I/GCM,sys/div/dom_int/dom_int/station;DL/ACS/I/I/FRA,,,,
,5,dom_int;I,A0,dom_int/station;I/GDL,1589,2148,73.98%,0.27%,945380,,,dom_int,I,dom_int/station,I/GDL,sys/div/dom_int/dom_int/station;DL/ACS/I/I/GCM,,,,
,5,dom_int;I,A0,dom_int/station;I/GGT,296,577,51.30%,0.05%,945380,,,dom_int,I,dom_int/station,I/GGT,sys/div/dom_int/dom_int/station;DL/ACS/I/I/GDL,,,,
,5,dom_int;I,A0,dom_int/station;I/GIG,800,1820,43.96%,0.13%,945380,,,dom_int,I,dom_int/station,I/GIG,sys/div/dom_int/dom_int/station;DL/ACS/I/I/GGT,,,,
,5,dom_int;I,A0,dom_int/station;I/GND,184,482,38.17%,0.03%,945380,,,dom_int,I,dom_int/station,I/GND,sys/div/dom_int/dom_int/station;DL/ACS/I/I/GIG,,,,
